"P_ATX","P_BAV","P_CAV","P_EAS","P_JUB","P_LEN","P_LKM","P_STE","P_UNI","P_VEI","P_WIE","WBK"
1025.82,506,535,3665,12150,1050,379,258,1260,382,4870,467.59
1020.36,495,537,3640,12600,1033,363,255,1220,373,4835,466.66
989.39,492,524,3575,12900,1031,374,236,1161,367,4680,455.39
972.94,492,520,3525,13700,1028,393,227,1105,348,4600,449.28
991.41,508,530,3600,13700,1049,401,229,1140,359,4700,454.83
970.59,507,509,3495,14000,1019,398,219,1145,342,4475,448.87
955.3,493,501,3445,14400,1013,397,209,1135,347,4570,442.86
968.56,481,510,3530,14550,1016,397,203,1137,356,4750,441.31
977.7,476,513,3525,15906,996,390,207,1155,349,4780,445.53
991.79,480,527,3510,15802,1017,392,218,1155,371,4865,447.65
1002.09,491,538,3530,15802,1028,384,213,1158,393,4905,451.79
1002.09,490,532,3548,15800,1026,390,204,1180,385,4900,450.21
988.86,485,522,3535,16200,1023,384,199,1268,376,4780,444.52
956.56,467,511,3360,16300,957,385,189,1155,340,4650,432.22
942.13,462,508,3365,16400,893,384,190,1130,330,4525,429.38
925.24,458,497,3320,16300,840,382,183,1101,336,4560,420.75
863.86,447,450,3325,16150,716,365,182,935,313,4520,403.58
811.95,421,409,3100,16000,643,325,160,851,291,4300,385.54
773.52,419,395,2780,16000,657,308,141,834,285,3875,371.76
770.6,418,398,2690,16150,660,310,133,810,296,4020,370.37
683.45,400,363,2345,16300,565,273,128,730,286,3590,339.48
727.38,408,388,2540,16510,597,300,154,850,319,3630,352.65
